"[A]자치구별","자치구별","[B]감염병별","감염병별","[C]성별","성별","[Item]항목","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"001","서울시","002019","한센병","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002019","한센병","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002019","한센병","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002019","한센병","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002013","성홍열","001001","발생","T001","법정감염병 발생현황","건","329","72","81","130","1059",
"001","서울시","002013","성홍열","001001001","남","T001","법정감염병 발생현황","건","","","","65","631",
"001","서울시","002013","성홍열","001001002","여","T001","법정감염병 발생현황","건","","","","65","428",
"001","서울시","002013","성홍열","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","1",
"001","서울시","002013","성홍열","001002001","남","T001","법정감염병 발생현황","건","","","","-","1",
"001","서울시","002013","성홍열","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002014","반코마이신내성황색포도알균 감염증","001001","발생","T001","법정감염병 발생현황","건","4","1","1","2","-",
"001","서울시","002014","반코마이신내성황색포도알균 감염증","001001001","남","T001","법정감염병 발생현황","건","","","","2","-",
"001","서울시","002014","반코마이신내성황색포도알균 감염증","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002014","반코마이신내성황색포도알균 감염증","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002014","반코마이신내성황색포도알균 감염증","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002014","반코마이신내성황색포도알균 감염증","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002015","카바페넴내성장내세균속균종 감염증","001001","발생","T001","법정감염병 발생현황","건","5143","6459","9153","11218","10904",
"001","서울시","002015","카바페넴내성장내세균속균종 감염증","001001001","남","T001","법정감염병 발생현황","건","","","","6495","6214",
"001","서울시","002015","카바페넴내성장내세균속균종 감염증","001001002","여","T001","법정감염병 발생현황","건","","","","4723","4690",
"001","서울시","002015","카바페넴내성장내세균속균종 감염증","001002","사망","T001","법정감염병 발생현황","건","100","105","239","235","184",
"001","서울시","002015","카바페넴내성장내세균속균종 감염증","001002001","남","T001","법정감염병 발생현황","건","","","","136","121",
"001","서울시","002015","카바페넴내성장내세균속균종 감염증","001002002","여","T001","법정감염병 발생현황","건","","","","99","63",
"001","서울시","002016","E형간염","001001","발생","T001","법정감염병 발생현황","건","27","79","71","103","149",
"001","서울시","002016","E형간염","001001001","남","T001","법정감염병 발생현황","건","","","","53","76",
"001","서울시","002016","E형간염","001001002","여","T001","법정감염병 발생현황","건","","","","50","73",
"001","서울시","002016","E형간염","001002","사망","T001","법정감염병 발생현황","건","-","-","-","1","1",
"001","서울시","002016","E형간염","001002001","남","T001","법정감염병 발생현황","건","","","","1","1",
"001","서울시","002016","E형간염","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002024","엠폭스","001001","발생","T001","법정감염병 발생현황","건","","","1","","",
"001","서울시","002024","엠폭스","001002","사망","T001","법정감염병 발생현황","건","","","-","","",
"001","서울시","003","제3급감염병","001001","발생","T001","법정감염병 발생현황","건","2123","1914","1691","1735","1507",
"001","서울시","003","제3급감염병","001001001","남","T001","법정감염병 발생현황","건","","","","881","799",
"001","서울시","003","제3급감염병","001001002","여","T001","법정감염병 발생현황","건","","","","767","708",
"001","서울시","003","제3급감염병","001002","사망","T001","법정감염병 발생현황","건","14","7","9","14","20",
"001","서울시","003","제3급감염병","001002001","남","T001","법정감염병 발생현황","건","","","","8","14",
"001","서울시","003","제3급감염병","001002002","여","T001","법정감염병 발생현황","건","","","","6","6",
"001","서울시","003001","파상풍","001001","발생","T001","법정감염병 발생현황","건","1","3","3","5","2",
"001","서울시","003001","파상풍","001001001","남","T001","법정감염병 발생현황","건","","","","1","2",
"001","서울시","003001","파상풍","001001002","여","T001","법정감염병 발생현황","건","","","","4","-",
"001","서울시","003001","파상풍","001002","사망","T001","법정감염병 발생현황","건","1","-","-","-","-",
"001","서울시","003001","파상풍","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","003001","파상풍","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","003002","B형간염(급성)","001001","발생","T001","법정감염병 발생현황","건","63","71","52","47","28",
"001","서울시","003002","B형간염(급성)","001001001","남","T001","법정감염병 발생현황","건","","","","28","18",
"001","서울시","003002","B형간염(급성)","001001002","여","T001","법정감염병 발생현황","건","","","","19","10",
"001","서울시","003002","B형간염(급성)","001002","사망","T001","법정감염병 발생현황","건","-","1","-","1","-",
"001","서울시","003002","B형간염(급성)","001002001","남","T001","법정감염병 발생현황","건","","","","1","-",
"001","서울시","003002","B형간염(급성)","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","003017","일본뇌염","001001","발생","T001","법정감염병 발생현황","건","-","3","2","3","3",
"001","서울시","003017","일본뇌염","001001001","남","T001","법정감염병 발생현황","건","","","","2","1",
"001","서울시","003017","일본뇌염","001001002","여","T001","법정감염병 발생현황","건","","","","1","2",
"001","서울시","003017","일본뇌염","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","3",
"001","서울시","003017","일본뇌염","001002001","남","T001","법정감염병 발생현황","건","","","","-","1",
"001","서울시","003017","일본뇌염","001002002","여","T001","법정감염병 발생현황","건","","","","-","2",
"001","서울시","003003","C형간염","001001","발생","T001","법정감염병 발생현황","건","1723","1553","1285","1136","978",
"001","서울시","003003","C형간염","001001001","남","T001","법정감염병 발생현황","건","","","","571","461",
"001","서울시","003003","C형간염","001001002","여","T001","법정감염병 발생현황","건","","","","565","517",
"001","서울시","003003","C형간염","001002","사망","T001","법정감염병 발생현황","건","-","1","-","1","3",
"001","서울시","003003","C형간염","001002001","남","T001","법정감염병 발생현황","건","","","","-","2",
